,fold,p.adj
CNKSR2,-2.02576723270486,5.26605455102572e-14
TNFAIP8L2,-2.19681580132365,1.39262897725636e-21
GINS1,3.82181932449438,1.40782310513143e-18
GPX3,-3.87880017614786,2.36971796089765e-24
TLE2,-2.06699997276617,4.07667118446523e-21
LRP2BP,-2.91420041891912,1.04657603450849e-21
ZWINT,2.98460662788703,2.67950696084908e-15
AOC3,-3.98099776015652,2.65841546892754e-31
DOCK11,-2.17519344688504,9.86692497639179e-27
SLC5A8,-3.26715732707501,5.88302387558622e-06
PNMA2,-2.8249712294646,1.50657466385955e-26
C1orf158,-3.63120768892954,3.45640684861494e-05
SHROOM3,-2.30359170021449,4.50299447990797e-23
FGF11,4.02300087796723,1.09312784123633e-12
CEACAM21,-2.85978327623042,1.05659585959743e-16
CCDC181,-2.79495362144269,1.34529771446702e-06
NMUR1,-3.80780248457296,9.47740441476439e-24
SPATA18,-2.38722709742792,8.34319191288133e-08
MNDA,-2.71400252714836,9.13810764688928e-24
CLEC6A,-2.2928836652135,1.58989320937648e-10
GMFG,-2.61279907766394,9.14975200140509e-30
SLC7A2,-2.27941194739925,4.47286694973833e-05
CCNA2,3.73858286018926,6.73965779970451e-20
C8B,-5.41544758483625,1.68715422752396e-08
LY86,-2.80439824709755,2.98298256200815e-21
MAD2L1,3.28879670336279,3.68510740511748e-19
KIF17,-2.91300047735463,5.58515249444576e-26
AGTR2,-5.06775558838669,1.09587632610935e-08
CYSLTR1,-2.3470727145357,2.93062206131165e-21
NMU,4.25406384630633,0.00776867776122018
AC079354.1,-2.84100676695907,0.000845964116297048
GNA14,-3.1144568457922,2.10218169542351e-27
SYT14,2.95165751797206,8.97448607985567e-09
CCDC68,-2.85189940283584,1.40254616292973e-24
CYP2F1,-3.48059409923199,0.0380522647308192
ESPN,2.83062565917513,4.35299969457241e-09
KCNK3,-4.69282091623635,1.91430414708473e-21
PDE2A,-2.64359436616272,5.525293144771e-14
ANKRD18B,3.32686621389154,3.81377663242263e-07
GKN2,-7.765920453516,2.63426967373237e-33
C17orf53,3.22234866701521,1.55080290484296e-24
BUB1B,4.1350259792721,3.29847871963968e-20
GABRR1,3.19911544785222,1.95771908957252e-06
IL20RB,3.79676381043061,2.16717593212577e-07
BANK1,-2.37821691996219,1.53767387741952e-08
CHI3L2,-3.71099063449845,2.97355195261251e-08
DPYSL2,-2.80020356050923,4.9542499944352e-38
LGALS2,-2.05980725505905,2.09524410766651e-05
C8orf4,-2.78620098651279,2.61701311929287e-15
SELENBP1,-4.41979853640558,1.66381842929331e-32
NOSTRIN,-4.03501968330469,2.30384539164401e-31
ABCA6,-2.59740161367254,8.1705109463354e-23
C19orf59,-6.15784461823129,1.03655487682118e-20
CAMP,-3.9845659185643,0.00155938692740891
CD1E,-2.16883519150968,2.46553267788066e-09
PRMT8,-2.6626276663783,3.31846562869449e-08
IRF8,-2.30358260552417,6.01322191640711e-15
FANCB,2.42158590476793,2.88156889281179e-14
SPP1,4.29139847961484,1.90617285697432e-07
GPR50,2.40779524027432,0.00147138150197532
MKI67,3.83755274345887,3.9623210521777e-19
CD55,-2.49860033748036,6.88699053652567e-25
TMEM63C,2.24851417283048,1.70979902900738e-05
ATF3,-2.00159935546665,1.19051527930319e-05
C4A,-2.29939965608253,4.52489229255839e-12
NIPAL4,3.15142809611831,0.00162696462365792
ANO5,-2.68495960122205,6.22850016786044e-25
FAT2,5.3449541178062,2.01744317898224e-10
KLF17,-2.01903217342984,2.71667600749799e-12
C10orf112,-2.18255739850354,3.04368126230581e-10
TNFSF13,-2.52959918108695,1.56376482159622e-33
CHRM2,-2.99740089560242,1.16400933725848e-06
VTN,-2.89461454511618,0.00129986193110859
ST6GALNAC5,-2.6656462412378,8.71682684938274e-23
ARHGAP29,-2.69938673140877,2.60024027453762e-22
AGTR1,-3.69778097778453,5.39311390485842e-27
FAM72C,2.32284653579432,4.33334652447193e-10
RCAN2,-2.13459111225803,4.81457854955406e-15
